review_id,app_name,rating,review_text,true_sentiment,true_severity,notes
cf528bb3-494c-465d-8291-c138a7777336,Chime,5,"No fees, so many features. Chime Rocks",,,
f1edde65-f460-469f-bef1-2136ebc74fa8,Cash App,1,hater,,,
68f381c9-606f-4a71-a37d-5e96cfdd28f6,Cash App,3,Very useful app as long as I was sending money from my bank account. But I'm pretty sure my credit card number got stolen when I used that instead of my bank account.,,,
93c370ea-133e-4f06-b1ea-d9dc6ef316c1,Venmo,1,I hate the fact that you have to send minimum amount of crypto .I hate the fact that when you sell your Bitcoin it takes up to a damn week....I hate the fact that you can't send Bitcoin without it thinking you're doing some kind of fraud..not to mention the constant fees....I bought $88 of bitcoin to send out....but when I tried it didn't allow me to (supposedly scam warning or some cover up bs) so I had to end up selling it to get my money back.....lost five bucks there and 5 days for it 2 get,,,
20b991b7-1a38-4040-8678-ef627a530f4d,PayPal,1,not so good,,,
d19b5ff3-1ec7-47d5-b4f1-9cf809ee73b7,PayPal,1,"garbage,I feel like an app that's accepted worldwide almost as the app we get free money with using mobile games shouldn't feel like it's completely against you,I have one PayPal account that won't let me order a physical card no matter what I do,my other account I can't even login to because I no longer have access to that phone number,I get past the first initial verify to get stuck at another I can't get out of.someone pls tell me why money games don't go to Cash app this is ridiculous bs.",,,
3b113677-f7ce-4695-a2f3-8ff6aad6af03,Chime,1,Custom Service sucks 😕 A man from India made me hang up and cancel my account!,,,
dc7f3aeb-b49a-468e-af88-61c5947d9b00,Venmo,1,sucks,,,
c1933c3f-fe89-456d-8619-7a80326c22e5,Venmo,2,Usually didn't require help but when needed help is hard to get,,,
f2cbe5dc-184e-4607-8608-f9fcb259004d,Cash App,5,Absolutely love having a Cash App card! A very wise decision to get this Card!,,,
48960d51-8388-4201-beb1-a3608bedfd04,Chime,1,"Automatically installed itself onto my phone after an update. Shady behavior from a ""banking"" app. I wouldn't trust them with a dollar.",,,
31e5a070-3c99-40af-8cd8-606743f9ff83,Venmo,3,my money was stolen from a place I never heard of had to wait 2 wewks just to get paid for one unauthorized transaction but missing one more,,,
7ec4d487-1b02-4243-a245-62a4907ead6b,Venmo,1,"Out of all the online banks out there, ""chime"", ""cash app"", ect., this has been the worst. I have tried to load money into my venmo using 3 different cards, from different banks, and nothing will go through. there is no option to load cash at a store like with the others, and I do not recieve any money by check to deposit a check. I am now in a difficult spot because I set up a payment plan using this card, and now I can't load the money to make the payment. Don't waist your time.",,,
00f6feae-30fa-48d7-9d00-d890130fb5ab,Chime,1,Chime did not explain anything to me at all and told me that I couldn't do it.,,,
e7ff6c43-8ace-4d0a-9865-6966635ec8b3,Venmo,3,"sometime transactions go smoothly, sometimes they seem to disappear as if they never happened. frustrating!",,,
9dd1f662-f370-467b-a02f-31e6c826d613,Venmo,1,"Adding money to your account, they take it out of your bank account the next day and then keep your money for 10 days after the transfer. cash app is much better. your funds are available right away and they don't hold your .money for over a week!",,,
3b74d73f-ccb8-4ada-92d5-d4a27d7f8635,Chime,1,Do not trust your money with this bank! They will let blocked merchants take money from your account and you will an extremely difficult time trying to get reimbursed your money and the customer service is awful!,,,
c2a2ec2f-c56e-4048-8963-ee65a6580136,Venmo,1,This app was not working. It refused to display its own pages correctly both in the app and online. The small a verification deposits never came.,,,
93b48037-af84-49de-88d3-bf4eff1de7f4,Chime,3,why when I change my virtual number old charges from companies still come though trying to charge things I cancelled I have to keep it frozen all the time I never had this happen with any other bank. Let me say I do love chime except for that.,,,
8a64cb93-bdb9-4b79-8a66-abe71f4669ce,Chime,2,it said no ssn but need you ssn,,,
fa736f47-b70e-4f68-ad86-0b9cf29b762a,PayPal,2,Too much fees!,,,
ba3b6347-50c3-42ce-96b3-93a914a7d950,Cash App,2,Samsung Galaxy 8+can't get a new update why?,,,
8ab1b746-3fe5-4e49-8306-c8d0ba580a63,PayPal,4,I have had excellent service with PayPal money I receive is within a minute money I send goes out quickly to the right person every time thank you PayPal,,,
8a9893bf-6969-483c-9b56-bc36bbff5532,Chime,5,love it,,,
